,name,category,rating,price,currency,description
10,"Chivas Regal Ultis, 40%",Blended Malt Scotch Whisky,96,160,$,"Captivating, enticing, and wonderfully charming, this first blended malt from Chivas Regal contains selections of five Speyside malts: Strathisla, Longmorn, Tormore, Allt-a-Bhainne, and Braeval. Red apple, cherry, raspberry fudge, peach and mango fruit salad, dusting of cinnamon, and dry heather sprigs. In essence, it’s rich and satisfying, with dark vanilla, apricot, Bourneville-covered Brazil nuts, and tangerine, smoothed over by caramel and wood spices, maltiness, and gingersnap biscuits. Quite heavenly. Editor's Choice"
11,"Chivas, 18 year old, 40%",Blended Scotch Whisky,95,70.00,$,"An essay in balance on both the aroma and palate. Silky layers of delicate sweetness (honeyed vanilla, caramel, light toffee) permeate through clean, delicate fruit (citrus, peach, currant), and subtle, complex dried spice. Clean finish, with a hint of dark chocolate. A very versatile, very drinkable blend which suits most moods and occasions. Indeed, a benchmark blended scotch. 
"
12,"Johnnie Walker Blue Anniversary, 60%",Blended Scotch Whisky,95,3500.00,$,"Formulated to celebrate the 200th anniversary of Johnnie Walker. This is a fabulous whisky for anyone who can spring for the bottle. It is deep, dark, and quite powerful with a hefty malt foundation and sweeter notes of toffee and vanilla combined with resinous oak, complex fruit (both bright citrus notes and darker pit fruits), crisp mint, tobacco, polished leather, and heavy peat smoke. A tour de force of a blended scotch-as big as many single malts reviewed here. 
"
13,"Ardbeg 1974 Vintage (Cask #3145), 49.9%",Single Malt Scotch,95,"20,000",$,"Cask #3145 is the lighter in color, and the sweet notes that balance the smoke and seaweed are not as deeply caramelized as Cask #3542. I’m tasting hints of shortbread and caramel, which show through the peat smoke, tobacco, toasted nuts, firm spice notes (cinnamon, clove, and mint), and lingering brine. Very complex. Price listed includes the entire Double Barrel 1974 Vintage set."
14,"Glenfarclas 1968 Vintage, 43%",Single Malt Scotch,95,200,$,"It has been quite a while since we’ve seen a new Glenfarclas here in the U.S. but, after tasting this whisky, it was worth the wait. Glenfarclas is a rich, stylish whisky that ages very well, and this 1968 vintage proves it. It is very deep and mature, with complex fruit (sultana, marmalade) layered by sweetness (honey, caramel, and toffee). All those years in oak contribute another dimension to the whisky, providing a dry, oaky spiciness, polished leather, and a hint of tobacco-especially on the finish. Never does the whisky taste tired or excessively woody. It expresses all that is good about an older whisky, without any of the down side. I’m told that most of the 1,400 bottles imported to the U.S. went to the Chicago area. It’s worth taking the extra time to track down a bottle."
15,"Highland Park  1973 vintage 33 year old (Cask #13308), 54.4%",Single Malt Scotch,95,280,$,"Dark and decadent. Notes of old pot still rum, roasted nuts, chocolate fudge, burnished leather, Dundee cake, tobacco, and a hint of damp peat. When I drink this, I feel like I’m sitting in the study of a stately Scottish mansion contemplating a fine, aged Cuban cigar. Royalty in a glass. (Bottled for Binny’s Beverage Depot)"
16,"Dun Bheagan (distilled at Springbank) Cask No. 1704 35 year old 1970 vintage, 50.5%",Single Malt Scotch,95,300,$,"Quite fresh and appetizing for a 35 year old whisky, but not too surprising for a Springbank. Notes of creamy vanilla, burnt caramel, coconut custard, brine, and a hint of anise. Complex, vibrant, and well-balanced. Reminds me why I love those old Springers. Devotees will not be disappointed. A stunning whisky! (Exclusive to Astor Wines and Spirits.)"
17,"Brora, 30 year old, 55.7%",Single Malt Scotch,95,400.00,$,"Astonishingly fresh and clean for 30 years in oak, and with incredible depth. Slight oily texture. Appetizing brine, with honeyed vanilla, mustard seed, green olive, Seville orange, and lemon zest. Underlying smoke, damp peat, and seaweed. Put simply, Brora at its finest. 
"
18,"The Last Drop, 1960 vintage, 48 year old, 52%",Blended Scotch Whisky,95,2000.00,$,"A 12 year old blended whisky was created in 1972 consisting of 70 different malt whiskies and 12 grain whiskies.  The blend was then placed in three sherry casks, where it was matured for the next 36 years (highly irregular, to say the least).  The quality of the sherry casks is quite evident, as is the whisky's age.  There's substantial malt content here, too.  These three factors, along with the wide range of malt and grain whiskies, combine to create one of the finest blended Scotch whiskies I have ever tasted.  It's dark, mysterious, and enormously complex, with notes of molasses, fig cake, dried fruit, tobacco, dark chocolate, old pot still rum, and polished leather, finishing with lingering cinnamon and mint.  There's no sign of this whisky getting tired at all.  I am pleased they bottled it at natural strength and didn't water it down to 40% or 43% abv, which could have ruined it.
(Allocation information:  There's a total of 1.347 bottles, of which only 350 are being imported to the U.S.  They are available exclusively at Binny's Beverage Depot (Chicago), Park Avenue Liquors (New York), and Wally's (Los Angeles))."
19,"The Macallan Estate Reserve, 45.7%",Single Malt Scotch,95,215,$,"Amber color. Richly textured (great mouth feel), with vanilla fudge, nougat, ripe citrus, and ginger cake leading to a complex, spicy finish. Great depth on this one. Well-polished. My pick of the lot."
20,"Laphroaig 25 year old (2008 Edition), 51.2%",Single Malt Scotch,95,500,$,"The flavors evolve on the nose and palate, with peat kiln smoke, fresh asphalt, damp earth warehouses, morning-after campfire ash, and old boat dock contrasting nicely with toffee apple, crème caramel, delicate raspberry preserve, and dried citrus. Long, smoky, spicy, briny, seaweed, dirty martini-tinged finish. This whisky comes from a combination of both sherry and bourbon casks, and the marriage works. I also like that it retains some of its youthful brashness, while showing the depth that maturity affords a whisky. A delicious, well-balanced, old-fashioned Laphroaig.(Reviewing this whisky gave me an excuse to open a “fresh” bottle of its predecessor, the 30 year old, and here are my thoughts. The 30 year old is softer, mellower, drier, and more debonair. The 25 year old is bolder, more youthful, more dynamic, richer, and sweeter — bottling at cask strength really helps here. Both whiskies are very nice, but quite different in personality.)"
